date,home_team,away_team,predicted_winner,actual_winner,correct,confidence,predicted_margin,actual_margin,margin_error,home_score,away_score,tracked_at
2025-11-21,DEN,HOU,HOU,DEN,False,57.7,1.8,-3,1.2,109,112,2025-12-21 02:18:05
2025-12-20,PHI,DAL,PHI,PHI,True,63.4,5.6,7,1.4000000000000004,121,114,2025-12-21 02:18:05
2025-12-07,TOR,BOS,TOR,BOS,False,56.9,4.6,-8,3.4000000000000004,113,121,2025-12-21 02:18:05
2025-12-20,NOP,IND,NOP,NOP,True,61.9,7.9,19,11.1,128,109,2025-12-21 02:18:05
2025-12-20,DET,CHA,DET,DET,True,70.0,11.3,26,14.7,112,86,2025-12-21 02:18:05
2025-12-20,MEM,WAS,MEM,WAS,False,70.0,11.1,-8,3.0999999999999996,122,130,2025-12-21 02:18:05
2025-11-04,GSW,PHX,GSW,GSW,True,56.4,4.2,11,6.8,118,107,2025-12-21 02:18:05
2025-12-20,UTA,ORL,ORL,ORL,True,52.9,2.0,-1,1.0,127,128,2025-12-21 02:18:05
2025-12-18,SAC,POR,POR,POR,True,70.0,10.6,1,9.6,134,133,2025-12-21 02:18:05
2025-11-25,LAC,LAL,LAL,LAL,True,70.0,11.8,17,5.199999999999999,135,118,2025-12-21 02:18:05
