team,roster_size,rotation_players,avg_offensive_rating,avg_ts_pct,total_ppg,avg_defensive_rating,avg_net_rating,total_pie,star_power,power_rating
OKC,14,9,119.19999999999999,0.5864444444444445,134.89999999999998,102.43333333333334,16.744444444444447,1.042,0.17,96.11170128007649
SAS,18,9,116.58888888888889,0.63,138.79999999999998,106.71111111111112,9.877777777777778,1.124,0.164,90.40051753190818
DEN,15,8,122.86250000000001,0.60425,112.8,107.975,14.9125,0.878,0.17866666666666667,89.12253481595556
CLE,15,9,119.3111111111111,0.5890000000000001,134.5,109.52222222222221,9.755555555555555,0.944,0.15266666666666664,82.58452510858663
HOU,13,8,120.6875,0.61975,117.2,109.92500000000001,10.75,0.885,0.133,79.43583728197285
NYK,15,6,123.40000000000002,0.5968333333333334,98.69999999999999,111.73333333333333,11.666666666666666,0.697,0.13266666666666668,73.77044556550493
DET,16,7,114.55714285714285,0.5767142857142858,104.00000000000001,109.14285714285712,5.414285714285713,0.8029999999999998,0.155,72.7968839253684
MIA,13,8,114.51250000000002,0.6067499999999999,116.60000000000001,110.57499999999999,3.9250000000000007,0.895,0.1406666666666667,72.74051366252215
PHI,16,7,119.5,0.6057142857142858,122.4,114.07142857142856,5.457142857142857,0.7989999999999999,0.14433333333333334,71.51017191019443
LAL,15,8,117.0625,0.59825,131.7,116.125,0.9375,0.852,0.17033333333333334,71.06898486189735
MIL,16,8,117.0625,0.61925,114.0,113.975,3.0875,0.809,0.155,70.31392510716746
ORL,14,7,114.98571428571428,0.6094285714285714,106.19999999999999,111.14285714285714,3.8285714285714287,0.7769999999999999,0.14033333333333334,68.392162145912
MIN,15,7,119.2,0.6417142857142858,111.7,116.3,2.8857142857142857,0.8009999999999999,0.14233333333333334,68.37747028916203
CHI,12,8,114.35,0.613,111.1,113.325,1.0375,0.836,0.14166666666666666,67.40652333027144
PHX,16,7,115.02857142857142,0.5897142857142857,109.69999999999999,113.04285714285713,2.0,0.7759999999999999,0.13766666666666666,65.93895965373036
GSW,14,7,112.92857142857142,0.5800000000000001,98.8,108.75714285714285,4.2142857142857135,0.72,0.131,65.76591558580559
BOS,15,7,115.64285714285714,0.558142857142857,98.0,111.68571428571428,3.957142857142857,0.732,0.128,65.55914141350422
CHA,14,8,114.425,0.63625,116.0,114.76249999999999,-0.32499999999999984,0.8400000000000001,0.132,64.88779885807313
POR,15,7,113.67142857142856,0.5692857142857143,107.8,110.62857142857145,3.042857142857143,0.6950000000000001,0.12933333333333333,63.33211524575835
ATL,15,8,113.3375,0.573,117.80000000000001,114.8875,-1.5375,0.831,0.133,63.27430384973621
IND,19,8,105.6,0.527125,128.6,113.41250000000001,-7.8,0.829,0.15366666666666665,58.25903184155892
LAC,16,8,113.45,0.6027499999999999,107.19999999999999,120.6875,-7.2125,0.755,0.14400000000000002,55.22433650355844
SAC,14,7,111.62857142857142,0.5732857142857143,110.8,117.34285714285713,-5.728571428571429,0.712,0.12366666666666666,53.13767366971963
TOR,13,6,114.08333333333333,0.5921666666666666,92.5,117.16666666666667,-3.1166666666666667,0.6039999999999999,0.12166666666666666,52.09727943885915
DAL,16,7,101.42857142857144,0.5392857142857143,93.0,109.8142857142857,-8.385714285714286,0.74,0.129,51.65180129494849
MEM,15,7,108.21428571428571,0.5594285714285715,92.4,114.08571428571427,-5.885714285714286,0.665,0.11699999999999999,50.53669631815865
UTA,15,6,106.16666666666667,0.5951666666666667,90.80000000000001,120.06666666666666,-13.9,0.616,0.14033333333333334,42.117212040803366
NOP,16,7,108.14285714285714,0.5704285714285715,100.9,121.10000000000001,-12.971428571428572,0.6259999999999999,0.11099999999999999,40.2656112878205
BKN,16,8,110.225,0.55375,100.4,125.55000000000001,-15.337499999999999,0.678,0.11633333333333333,39.97115036363032
WAS,18,7,104.27142857142859,0.5335714285714286,88.10000000000001,122.02857142857142,-17.77142857142857,0.545,0.104,31.036808838370426
