team,player,status,detail
ATL,Keshon Gilbert,Day-To-Day,Hip
ATL,Mouhamed Gueye,Day-To-Day,Foot
ATL,RayJ Dennis,Day-To-Day,Achilles
BKN,Nolan Traore,Day-To-Day,Knee
BOS,Jayson Tatum,Day-To-Day,Knee
CHA,Brandon Miller,Day-To-Day,Shoulder
CHA,PJ Hall,Day-To-Day,Ankle
CHI,Dailyn Swain,Day-To-Day,Wrist
CHI,Josh Giddey,Day-To-Day,Ankle
CHI,Rob Dillingham,Day-To-Day,Wrist
CHI,Zach Collins,Day-To-Day,Toe
DAL,Dereck Lively II,Day-To-Day,Foot
DAL,Kyrie Irving,Day-To-Day,Knee
DAL,Santi Aldama,Day-To-Day,Knee
DEN,Aaron Gordon,Day-To-Day,Calf
DEN,Trevon Brazile,Day-To-Day,Undisclosed
GSW,Jimmy Butler III,Out,Knee
GSW,Moses Moody,Out,Knee
HOU,Fred VanVleet,Day-To-Day,Knee
HOU,Kevin Durant,Day-To-Day,Ankle
HOU,Steven Adams,Day-To-Day,Ankle
IND,Johnny Furphy,Out,Knee
IND,Tyrese Haliburton,Day-To-Day,Achilles
LAC,Bradley Beal,Day-To-Day,Hip
LAC,Jordan Miller,Out,Shoulder
LAC,Yanic Konan Niederhauser,Day-To-Day,Foot
MEM,Jaylen Wells,Day-To-Day,Toe
MEM,Karim Lopez,Day-To-Day,Undisclosed
MEM,Richie Saunders,Out,Knee
MEM,Scotty Pippen Jr.,Day-To-Day,Toe
MEM,Walter Clayton Jr.,Day-To-Day,Knee
MEM,Zach Edey,Day-To-Day,Ankle
MIA,Bam Adebayo,Day-To-Day,Back
MIA,Giannis Antetokounmpo,Day-To-Day,Knee
MIA,Myron Gardner,Day-To-Day,Ankle
MIA,Ryan Conwell,Day-To-Day,Hip
MIA,Trevor Keels,Day-To-Day,Knee
MIL,Kevin Porter Jr.,Day-To-Day,Knee
MIN,Donte DiVincenzo,Out,Achilles
NOP,Bryce McGowens,Day-To-Day,Toe
NOP,Micah Peavy,Day-To-Day,Rest
NYK,Jalen Brunson,Day-To-Day,Wrist
NYK,Mohamed Diawara,Day-To-Day,Finger
OKC,Ajay Mitchell,Day-To-Day,Calf
OKC,Isaiah Hartenstein,Day-To-Day,Ankle
OKC,Jalen Williams,Day-To-Day,Hamstring
OKC,Nikola Topic,Day-To-Day,Back
OKC,Otega Oweh,Day-To-Day,Lower Leg
OKC,Thomas Sorber,Day-To-Day,Knee
ORL,Franz Wagner,Day-To-Day,Calf
ORL,Izaiyah Nelson,Day-To-Day,Ankle
ORL,Jonathan Isaac,Day-To-Day,Knee
PHI,Kentavious Caldwell-Pope,Day-To-Day,Finger
PHX,CJ Huntley,Day-To-Day,Hamstring
PHX,Mark Williams,Day-To-Day,Foot
POR,Damian Lillard,Day-To-Day,Achilles
POR,Ja Morant,Day-To-Day,Elbow
POR,Shaedon Sharpe,Out,Knee
SAC,De'Andre Hunter,Day-To-Day,Eye
SAC,Domantas Sabonis,Day-To-Day,Knee
SAC,Keegan Murray,Day-To-Day,Ankle
SAC,Zach LaVine,Day-To-Day,Hand
SAS,David Jones Garcia,Day-To-Day,Ankle
SAS,Jayden Quaintance,Out,Knee
TOR,Alijah Martin,Day-To-Day,Knee
TOR,Brandon Ingram,Day-To-Day,Heel
TOR,Chucky Hepburn,Day-To-Day,Knee
TOR,Collin Murray-Boyles,Day-To-Day,Finger
TOR,Immanuel Quickley,Day-To-Day,Hamstring
TOR,Nate Bittle,Day-To-Day,Knee
UTA,Jaren Jackson Jr.,Day-To-Day,Knee
UTA,Trey Alexander,Day-To-Day,Ribs
WAS,Alex Sarr,Day-To-Day,Foot
WAS,Anthony Davis,Day-To-Day,Finger
WAS,Jamir Watkins,Out,Knee
WAS,Trae Young,Day-To-Day,Quadriceps
