PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,PTS_STD,REB_STD,AST_STD,STL_STD,BLK_STD,FG_PCT_STD,FG3_PCT_STD,MIN_STD,GAMES_LOGGED
1629029,Luka Dončić,1610612747,LAL,26.0,2,1,1,0.5,37.9,15.5,25.0,0.62,3.5,11.0,0.318,11.5,14.5,0.793,0.5,11.0,11.5,8.5,3.0,1.0,0.5,0.5,2.5,11.0,46.0,5.0,123.2,116.0,7.2,0.425,20.2,0.017,0.293,0.173,7.1,0.69,0.733,0.399,98.35,0.302,4.242640687119285,0.7071067811865476,0.7071067811865476,1.4142135623730951,0.7071067811865476,0.014849242404917511,0.1534421715174808,4.242640687119285,2
1630178,Tyrese Maxey,1610612755,PHI,24.0,4,4,0,1.0,43.0,11.5,25.3,0.455,4.5,9.5,0.474,10.0,11.5,0.87,0.3,3.5,3.8,8.3,2.0,1.0,0.8,1.3,3.0,6.8,37.5,5.8,125.9,120.6,5.3,0.314,20.2,0.005,0.077,0.041,4.9,0.545,0.619,0.304,100.83,0.161,6.557438524302,1.707825127659933,1.707825127659933,0.816496580927726,0.5,0.07942449244408178,0.20425861874920564,2.70801280154532,4
203507,Giannis Antetokounmpo,1610612749,MIL,30.0,4,3,1,0.75,32.7,14.3,20.5,0.695,1.0,1.8,0.571,6.8,10.5,0.643,4.0,10.0,14.0,7.0,3.3,0.8,1.3,0.3,2.5,8.8,36.3,10.3,124.4,111.9,12.5,0.384,19.9,0.124,0.288,0.209,9.2,0.72,0.722,0.356,102.92,0.283,3.774917217635375,4.898979485566356,1.632993161855452,0.9574271077563381,0.9574271077563381,0.07107273269920987,0.5000555802441697,4.5,4
1630559,Austin Reaves,1610612747,LAL,27.0,4,2,2,0.5,37.8,10.8,18.8,0.573,3.0,7.0,0.429,11.3,12.8,0.882,0.5,6.3,6.8,8.5,4.0,1.8,0.0,1.0,2.3,8.5,35.8,6.3,122.0,114.2,7.7,0.351,23.4,0.016,0.162,0.096,11.0,0.653,0.734,0.302,102.59,0.214,12.526638282742368,3.095695936834452,2.516611478423583,1.2583057392117916,0.0,0.025329495323305046,0.1637770333919462,1.5,4
1628983,Shai Gilgeous-Alexander,1610612760,OKC,27.0,5,5,0,1.0,38.5,12.6,24.4,0.516,1.4,6.0,0.233,8.2,9.6,0.854,0.2,6.0,6.2,5.4,2.4,1.4,1.4,1.2,2.0,7.6,34.8,6.8,117.5,106.5,10.9,0.265,14.8,0.005,0.147,0.078,6.6,0.545,0.608,0.35,97.97,0.211,12.091319200153471,2.16794833886788,1.51657508881031,0.5477225575051661,1.140175425099138,0.10416333327999827,0.09599635409743436,7.469939758793239,5
1628374,Lauri Markkanen,1610612762,UTA,28.0,3,2,1,0.667,38.3,11.3,22.7,0.5,4.7,11.0,0.424,7.3,7.7,0.957,2.7,5.3,8.0,3.0,1.0,0.0,0.0,1.3,1.0,7.0,34.7,16.3,127.8,109.3,18.5,0.125,9.9,0.067,0.128,0.098,3.3,0.603,0.666,0.278,99.83,0.183,15.56705923844749,5.291502622129181,2.0,0.0,0.0,0.08853812738024223,0.13214007719083562,6.244997998398398,3
1628973,Jalen Brunson,1610612752,NYK,29.0,4,2,2,0.5,34.7,10.8,22.3,0.483,2.5,8.0,0.313,7.8,8.8,0.886,0.5,3.5,4.0,5.0,2.0,1.3,0.0,1.0,2.5,6.3,31.8,2.0,113.8,110.3,3.4,0.286,15.2,0.013,0.104,0.055,6.1,0.539,0.608,0.325,103.28,0.17,6.3966136874651625,0.816496580927726,1.632993161855452,1.5,0.0,0.1297227813454522,0.16968672114615607,0.5,4
1628378,Donovan Mitchell,1610612739,CLE,29.0,4,3,1,0.75,33.4,11.0,19.5,0.564,2.8,7.8,0.355,6.5,8.3,0.788,0.0,2.0,2.0,4.0,4.0,1.5,0.3,0.5,1.3,5.8,31.3,12.0,119.1,104.8,14.3,0.208,13.1,0.0,0.058,0.031,13.1,0.635,0.676,0.318,106.14,0.176,5.188127472091127,0.816496580927726,1.4142135623730951,1.2909944487358056,0.5,0.13494782942554753,0.22468997159048582,3.095695936834452,4
1641705,Victor Wembanyama,1610612759,SAS,21.0,4,4,0,1.0,32.3,11.0,18.3,0.603,1.0,2.8,0.364,8.0,10.0,0.8,1.8,12.0,13.8,2.8,1.5,1.5,4.8,0.0,3.5,9.8,31.0,16.8,116.2,93.6,22.7,0.157,10.2,0.061,0.324,0.209,5.6,0.63,0.684,0.314,99.65,0.31,6.683312551921141,1.8929694486000912,1.5,1.0,3.5,0.1921065242688719,0.28867513459481287,2.6299556396765835,4
1631097,Bennedict Mathurin,1610612754,IND,23.0,2,0,2,0.0,36.4,8.5,15.5,0.548,2.5,5.0,0.5,11.5,13.0,0.885,1.5,5.5,7.0,2.5,2.5,0.0,0.0,1.0,3.0,10.0,31.0,-4.5,112.2,118.7,-6.5,0.122,9.6,0.035,0.153,0.089,9.6,0.629,0.73,0.267,102.47,0.179,7.0710678118654755,5.656854249492381,2.1213203435596424,0.0,0.0,0.13647160876900372,0.4419417382415922,12.020815280171307,2
1627750,Jamal Murray,1610612743,DEN,28.0,3,2,1,0.667,36.3,11.7,22.0,0.53,3.0,7.0,0.429,4.0,4.3,0.923,0.7,4.3,5.0,6.0,2.3,1.3,0.0,0.7,2.0,2.7,30.3,10.7,126.8,114.7,12.0,0.247,18.8,0.022,0.119,0.075,7.3,0.598,0.634,0.304,99.54,0.163,11.015141094572204,1.7320508075688772,3.605551275463989,1.5275252316519468,0.0,0.04619884558442275,0.15385166015787202,4.041451884327381,3
203897,Zach LaVine,1610612758,SAC,30.0,4,1,3,0.25,36.7,10.3,19.8,0.519,3.5,8.5,0.412,5.0,5.3,0.952,0.3,2.8,3.0,1.3,2.3,0.0,0.3,0.8,2.0,3.8,29.0,-6.8,107.4,114.7,-7.3,0.059,5.0,0.006,0.072,0.038,8.9,0.608,0.657,0.274,101.71,0.127,4.08248290463863,1.1547005383792515,1.2583057392117916,0.0,0.5,0.042598904524255875,0.19074830711350146,2.362907813126304,4
1626164,Devin Booker,1610612756,PHX,28.0,4,1,3,0.25,36.3,9.0,17.8,0.507,2.3,6.0,0.375,8.3,10.3,0.805,1.0,3.0,4.0,6.8,5.0,0.3,0.3,1.3,3.0,7.8,28.5,-9.8,110.5,121.3,-10.8,0.318,19.9,0.024,0.082,0.051,14.7,0.57,0.64,0.294,104.9,0.134,7.14142842854285,1.1547005383792515,2.8722813232690143,0.5,0.5,0.08338864830818801,0.07589027166464311,6.551081335677848,4
1629627,Zion Williamson,1610612740,NOP,25.0,2,0,2,0.0,35.2,9.0,19.5,0.462,0.0,0.0,0.0,9.0,14.0,0.643,5.0,4.5,9.5,6.0,3.5,4.0,0.0,5.0,2.0,9.5,27.0,3.0,111.7,108.5,3.2,0.273,16.9,0.128,0.123,0.126,9.9,0.462,0.526,0.326,104.58,0.172,0.0,0.7071067811865476,1.4142135623730951,1.4142135623730951,0.0,0.022627416997969503,0.0,2.8284271247461903,2
