# NBA 2025-26 Regular Season Games
# Format: HOME vs AWAY
# Preseason games excluded

# Week 1 (Oct 21 - Oct 26)

# Tuesday, October 21
OKC vs HOU
LAL vs GSW

# Wednesday, October 22
NYK vs CLE
CHA vs BKN
ORL vs MIA
ATL vs TOR
BOS vs PHI
CHI vs DET
MEM vs NOP
MIL vs WAS
UTA vs LAC
DAL vs SAS
PHX vs SAC
POR vs MIN

# Thursday, October 23
IND vs OKC
GSW vs DEN

# Friday, October 24
TOR vs MIL
ORL vs ATL
NYK vs BOS
BKN vs CLE
HOU vs DET
MEM vs MIA
NOP vs SAS
DAL vs WAS
LAL vs MIN
POR vs GSW
SAC vs UTA
LAC vs PHX

# Saturday, October 25
ORL vs CHI
ATL vs OKC
PHI vs CHA
MEM vs IND
DEN vs PHX

# Sunday, October 26
SAS vs BKN
DET vs BOS
CLE vs MIL
MIA vs NYK
WAS vs CHA
MIN vs IND
DAL vs TOR
LAC vs POR
SAC vs LAL

# Week 2 (Oct 27 - Nov 2)

# Monday, October 27
DET vs CLE
PHI vs ORL
CHI vs ATL
HOU vs BKN
NOP vs BOS
SAS vs TOR
DAL vs OKC
UTA vs PHX
MIN vs DEN
GSW vs MEM
LAL vs POR

# Tuesday, October 28
WAS vs PHI
MIA vs CHA
MIL vs NYK
OKC vs SAC
GSW vs LAC

# Wednesday, October 29
TOR vs HOU
BOS vs CLE
DET vs ORL
BKN vs ATL
CHI vs SAC
DAL vs IND
DEN vs NOP
UTA vs POR
MIN vs LAL
PHX vs MEM

# Thursday, October 30
CHA vs ORL
MIL vs GSW
OKC vs WAS
SAS vs MIA

# Friday, October 31 (NBA Cup)
IND vs ATL
PHI vs BOS
CLE vs TOR
CHI vs NYK
MEM vs LAL
PHX vs UTA
POR vs DEN
LAC vs NOP

# Saturday, November 1
MIL vs SAC
CHA vs MIN
IND vs GSW
WAS vs ORL
BOS vs HOU
MX vs DAL

# Sunday, November 2
OKC vs NOP
BKN vs PHI
CHA vs UTA
CLE vs ATL
TOR vs MEM
NYK vs CHI
PHX vs SAS
LAL vs MIA

# Week 3 (Nov 3 - Nov 9)

# Monday, November 3
BKN vs MIN
IND vs MIL
BOS vs UTA
NYK vs WAS
HOU vs DAL
MEM vs DET
DEN vs SAC
POR vs LAL
LAC vs MIA

# Tuesday, November 4
TOR vs MIL
ATL vs ORL
CHI vs PHI
NOP vs CHA
GSW vs PHX
LAC vs OKC

# Wednesday, November 5
CLE vs PHI
DET vs UTA
IND vs BKN
BOS vs WAS
NYK vs MIN
MEM vs HOU
DAL vs NOP
DEN vs MIA
LAL vs SAS
POR vs OKC
SAC vs GSW

# Thursday, November 6
PHX vs LAC

# Friday, November 7 (NBA Cup)
ORL vs BOS
WAS vs CLE
ATL vs TOR
BKN vs DET
SAS vs HOU
MIA vs CHA
MEM vs DAL
MIL vs CHI
MIN vs UTA
DEN vs GSW
SAC vs OKC

# Saturday, November 8
WAS vs DAL
PHI vs TOR
ATL vs LAL
CLE vs CHI
MIA vs POR
SAS vs NOP
DEN vs IND
LAC vs PHX

# Sunday, November 9
MIL vs HOU
NYK vs BKN
ORL vs BOS
MEM vs OKC
PHI vs DET
GSW vs IND
SAC vs MIN

# Week 4 (Nov 10 - Nov 16)

# Monday, November 10
CHA vs LAL
DET vs WAS
ORL vs POR
MIA vs CLE
CHI vs SAS
DAL vs MIL
PHX vs NOP
UTA vs MIN
LAC vs ATL

# Tuesday, November 11
BKN vs TOR
NYK vs MEM
PHI vs BOS
OKC vs GSW
UTA vs IND
SAC vs DEN

# Wednesday, November 12
CHA vs MIL
DET vs CHI
NYK vs ORL
BOS vs MEM
MIA vs CLE
HOU vs WAS
NOP vs POR
SAS vs GSW
DAL vs PHX
OKC vs LAL
SAC vs ATL
LAC vs DEN

# Thursday, November 13
CLE vs TOR
PHX vs IND
UTA vs ATL

# Friday, November 14 (NBA Cup)
NYK vs MIA
ORL vs BKN
DET vs PHI
HOU vs POR
MIL vs CHA
MIN vs SAC
NOP vs LAL
DAL vs LAC
SAS vs GSW

# Saturday, November 15
CLE vs MEM
CHA vs OKC
IND vs TOR
MIL vs LAL
MIN vs DEN

# Sunday, November 16
BOS vs LAC
SAS vs SAC
WAS vs BKN
HOU vs ORL
NOP vs GSW
DAL vs POR
PHX vs ATL
UTA vs CHI

# Week 5 (Nov 17 - Nov 23)

# Monday, November 17
CLE vs MIL
DET vs IND
PHI vs LAC
MIA vs NYK
TOR vs CHA
MIN vs DAL
NOP vs OKC
DEN vs CHI

# Tuesday, November 18
ORL vs GSW
BKN vs BOS
ATL vs DET
SAS vs MEM
LAL vs UTA
POR vs PHX

# Wednesday, November 19
CLE vs HOU
IND vs CHA
MIA vs GSW
PHI vs TOR
MIN vs WAS
NOP vs DEN
OKC vs SAC
DAL vs NYK
POR vs CHI

# Thursday, November 20
ORL vs LAC
MEM vs SAC
MIL vs PHI
SAS vs ATL

# Friday, November 21 (NBA Cup)
